id,codigo,valores
tribute_00001,20,Impuesto al Valor Agregado 13%
tribute_00002,C3,Impuesto al Valor Agregado (exportaciones) 0%
tribute_00003,59,Turismo: por alojamiento (5%)
tribute_00004,71,Turismo: salida del país por vía aérea $7.00
tribute_00005,D1,FOVIAL ($0.20 Ctvs. por galón)
tribute_00006,C8,COTRANS ($0.10 Ctvs. por galón)
tribute_00007,D5,Otras tasas casos especiales
tribute_00008,D4,Otros impuestos casos especiales
tribute_00009,A8,Impuesto Especial al Combustible (0%, 0.5%, 1%)
tribute_00010,57,Impuesto industria de Cemento
tribute_00011,90,Impuesto especial a la primera matrícula
tribute_00012,D4,Otros impuestos casos especiales
tribute_00013,D5,Otras tasas casos especiales
tribute_00014,A6,Impuesto ad- valorem, armas de fuego, municiones explosivas y artículos similares
tribute_00015,C5,Impuesto ad- valorem por diferencial de precios de bebidas alcohólicas (8%)
tribute_00016,C6,Impuesto ad- valorem por diferencial de precios al tabaco cigarrillos (39%)
tribute_00017,C7,Impuesto ad- valorem por diferencial de precios al tabaco cigarros (100%)
tribute_00018,19,Fabricante de Bebidas Gaseosas, Isotónicas, Deportivas, Fortificantes, Energizante o Estimulate,
tribute_00019,28,Importador de Bebidas Gaseosas,Isotónicas, Deportivas, Fortificantes, Energizante o Estimulate,
tribute_00020,31,Detallistas o Expendedores de Bebidas Alcohólias,
tribute_00021,32,Fabricante de Cervza,
tribute_00022,33,Importador de Cervza,
tribute_00023,34,Fabricante de Productos de Tabco,
tribute_00024,35,Importador de Productos de Tabco,
tribute_00025,36,Fabricante de Armas de Fuego, Municiones y Artículos Similaes,
tribute_00026,37,Importador de Arma de Fuego, Munición y Artículos. Similaes,
tribute_00027,38,Fabricante de Explosios,
tribute_00028,39,Importador de Explosios,
tribute_00029,42,Fabricante de Productos Pirotécnios,
tribute_00030,43,Importador de Productos Pirotécnios,
tribute_00031,44,Productor de Tabco,
tribute_00032,50,Distribuidor de Bebidas Gaseosas,Isotónicas,Deportivas, Fortificantes, Energizante o Estimulate,
tribute_00033,51,Bebidas Alcohólias,
tribute_00034,52,Cervza,
tribute_00035,53,Productos del Tabco,
tribute_00036,54,Bebidas Carbonatadas o Gaseosas Simples o Endulzaas,
tribute_00037,55,Otros Específios,
tribute_00038,58,Alcool,
tribute_00039,77,Importador de Jugos, Néctares, Bebidas con Jugo y Refresos,
tribute_00040,78,Distribuidor de Jugos, Néctares, Bebidas con Jugo y Refresos,
tribute_00041,79,Sobre Llamadas Telefónicas Provenientes del Et.,
tribute_00042,85,Detallista de Jugos, Néctares, Bebidas con Jugo y Refresos,
tribute_00043,86,Fabricante  de  Preparaciones  Concentradas  o  en  Polvo  para  la Elaboración de Bebias,
tribute_00044,91,Fabricante de Jugos, Néctares, Bebidas con Jugo y Refresos,
tribute_00045,92,"Importador  de  Preparaciones  Concentradas  o  en  Polvo  para  la Elaboración de Bebias,
tribute_00046,A1,Específicos y Ad-Valoem,
tribute_00047,A5,"Bebidas Gaseosas, Isotónicas, Deportivas, Fortificantes, Energizanteso Estimulanes,
tribute_00048,A7,Alcohol Etílco,
tribute_00049,A9,Sacos Sintétios,
